1787968249 llm-proxy-7dc458997b-pmbxt   4m      2217Mi   
1787968249 llm-proxy-7dc458997b-tkq66   1806m   2703Mi   
1787968249 llm-proxy-7dc458997b-vt7nz   1717m   2578Mi   
1787968249 llm-proxy-7dc458997b-x4rjf   380m    2820Mi   
1787968249 llm-proxy-7dc458997b-xhh9s   1830m   2364Mi   
1787968320 llm-proxy-7dc458997b-fmgfb   1893m   2420Mi   
1787968320 llm-proxy-7dc458997b-pmbxt   4m      2217Mi   
1787968320 llm-proxy-7dc458997b-tkq66   206m    2794Mi   
1787968320 llm-proxy-7dc458997b-vt7nz   175m    2864Mi   
1787968320 llm-proxy-7dc458997b-x4rjf   200m    2868Mi   
1787968320 llm-proxy-7dc458997b-xhh9s   1779m   2478Mi   
1787968390 llm-proxy-7dc458997b-fmgfb   1908m   2479Mi   
1787968390 llm-proxy-7dc458997b-pmbxt   4m      2217Mi   
1787968390 llm-proxy-7dc458997b-tkq66   230m    2769Mi   
1787968390 llm-proxy-7dc458997b-vt7nz   194m    2876Mi   
1787968390 llm-proxy-7dc458997b-x4rjf   193m    2867Mi   
1787968390 llm-proxy-7dc458997b-xhh9s   1755m   2477Mi   
1787968461 llm-proxy-7dc458997b-fmgfb   732m   2501Mi   
1787968461 llm-proxy-7dc458997b-pmbxt   5m     2217Mi   
1787968461 llm-proxy-7dc458997b-tkq66   227m   2777Mi   
1787968461 llm-proxy-7dc458997b-vt7nz   188m   2873Mi   
1787968461 llm-proxy-7dc458997b-x4rjf   198m   2869Mi   
1787968461 llm-proxy-7dc458997b-xhh9s   4m     2548Mi   
1787968532 llm-proxy-7dc458997b-fmgfb   4m     2501Mi   
1787968532 llm-proxy-7dc458997b-pmbxt   4m     2217Mi   
1787968532 llm-proxy-7dc458997b-tkq66   224m   2763Mi   
1787968532 llm-proxy-7dc458997b-vt7nz   214m   2771Mi   
1787968532 llm-proxy-7dc458997b-x4rjf   209m   2868Mi   
1787968532 llm-proxy-7dc458997b-xhh9s   4m     2547Mi   
1787968602 llm-proxy-7dc458997b-fmgfb   4m     2500Mi   
1787968602 llm-proxy-7dc458997b-pmbxt   4m     2217Mi   
1787968602 llm-proxy-7dc458997b-tkq66   209m   2772Mi   
1787968602 llm-proxy-7dc458997b-vt7nz   228m   2757Mi   
1787968602 llm-proxy-7dc458997b-x4rjf   4m     2834Mi   
1787968673 llm-proxy-7dc458997b-fmgfb   4m     2500Mi   
1787968673 llm-proxy-7dc458997b-tkq66   225m   2782Mi   
1787968673 llm-proxy-7dc458997b-vt7nz   4m     2770Mi   
1787968673 llm-proxy-7dc458997b-x4rjf   3m     2825Mi   
1787968743 llm-proxy-7dc458997b-fmgfb   4m    2500Mi   
1787968743 llm-proxy-7dc458997b-tkq66   4m    2764Mi   
1787968743 llm-proxy-7dc458997b-x4rjf   4m    2818Mi   
1787968814 llm-proxy-7dc458997b-fmgfb   4m    2500Mi   
1787968885 llm-proxy-7dc458997b-fmgfb   4m    2500Mi   
