1787954008 llm-proxy-7dc458997b-ftb2l   1905m   2292Mi   
1787954008 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787954008 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787954078 llm-proxy-7dc458997b-6mn82   850m   2438Mi   
1787954078 llm-proxy-7dc458997b-7h8n4   3m     2845Mi   
1787954078 llm-proxy-7dc458997b-djj7s   208m   2841Mi   
1787954078 llm-proxy-7dc458997b-ftb2l   395m   2353Mi   
1787954078 llm-proxy-7dc458997b-pkvdf   4m     205Mi    
1787954078 llm-proxy-7dc458997b-rns96   4m     205Mi    
1787954148 llm-proxy-7dc458997b-7h8n4   3m     2844Mi   
1787954148 llm-proxy-7dc458997b-djj7s   212m   2785Mi   
1787954148 llm-proxy-7dc458997b-ftb2l   4m     2353Mi   
1787954148 llm-proxy-7dc458997b-pkvdf   4m     205Mi    
1787954148 llm-proxy-7dc458997b-rns96   4m     205Mi    
1787954218 llm-proxy-7dc458997b-7h8n4   3m    2843Mi   
1787954218 llm-proxy-7dc458997b-djj7s   4m    2799Mi   
1787954218 llm-proxy-7dc458997b-pkvdf   4m    205Mi    
1787954218 llm-proxy-7dc458997b-rns96   4m    205Mi    
1787954289 llm-proxy-7dc458997b-7h8n4   4m    2843Mi   
1787954289 llm-proxy-7dc458997b-djj7s   4m    2767Mi   
1787954289 llm-proxy-7dc458997b-pkvdf   5m    205Mi    
1787954289 llm-proxy-7dc458997b-rns96   4m    205Mi    
1787954359 llm-proxy-7dc458997b-7h8n4   4m    2843Mi   
1787954359 llm-proxy-7dc458997b-djj7s   4m    2765Mi   
1787954430 llm-proxy-7dc458997b-7h8n4   3m    2843Mi   
1787954501 llm-proxy-7dc458997b-7h8n4   4m    2842Mi   
