1787961011 llm-proxy-7dc458997b-j8s4w   1461m   2334Mi   
1787961011 llm-proxy-7dc458997b-md9lt   238m    2799Mi   
1787961011 llm-proxy-7dc458997b-qf7tn   1895m   2146Mi   
1787961011 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787961081 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787961081 llm-proxy-7dc458997b-ctwm4   243m    2857Mi   
1787961081 llm-proxy-7dc458997b-j8s4w   1458m   2440Mi   
1787961081 llm-proxy-7dc458997b-md9lt   240m    2815Mi   
1787961081 llm-proxy-7dc458997b-qf7tn   1706m   2443Mi   
1787961081 llm-proxy-7dc458997b-zrv9p   6m      205Mi    
1787961152 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787961152 llm-proxy-7dc458997b-ctwm4   211m    2773Mi   
1787961152 llm-proxy-7dc458997b-j8s4w   1440m   2701Mi   
1787961152 llm-proxy-7dc458997b-md9lt   252m    2835Mi   
1787961152 llm-proxy-7dc458997b-qf7tn   1900m   2484Mi   
1787961152 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787961222 llm-proxy-7dc458997b-b92v6   4m     205Mi    
1787961222 llm-proxy-7dc458997b-ctwm4   209m   2794Mi   
1787961222 llm-proxy-7dc458997b-j8s4w   4m     2779Mi   
1787961222 llm-proxy-7dc458997b-md9lt   227m   2776Mi   
1787961222 llm-proxy-7dc458997b-qf7tn   956m   2584Mi   
1787961222 llm-proxy-7dc458997b-zrv9p   4m     205Mi    
1787961292 llm-proxy-7dc458997b-b92v6   4m     205Mi    
1787961292 llm-proxy-7dc458997b-ctwm4   215m   2794Mi   
1787961292 llm-proxy-7dc458997b-j8s4w   4m     2766Mi   
1787961292 llm-proxy-7dc458997b-md9lt   250m   2737Mi   
1787961292 llm-proxy-7dc458997b-qf7tn   4m     2575Mi   
1787961292 llm-proxy-7dc458997b-zrv9p   4m     205Mi    
1787961364 llm-proxy-7dc458997b-b92v6   4m     205Mi    
1787961364 llm-proxy-7dc458997b-ctwm4   209m   2789Mi   
1787961364 llm-proxy-7dc458997b-md9lt   4m     2759Mi   
1787961364 llm-proxy-7dc458997b-qf7tn   4m     2574Mi   
1787961364 llm-proxy-7dc458997b-zrv9p   4m     205Mi    
1787961434 llm-proxy-7dc458997b-b92v6   4m     205Mi    
1787961434 llm-proxy-7dc458997b-ctwm4   216m   2759Mi   
1787961434 llm-proxy-7dc458997b-md9lt   5m     2742Mi   
1787961434 llm-proxy-7dc458997b-zrv9p   3m     205Mi    
1787961505 llm-proxy-7dc458997b-b92v6   4m    205Mi    
1787961505 llm-proxy-7dc458997b-ctwm4   4m    2749Mi   
1787961575 llm-proxy-7dc458997b-ctwm4   4m    2743Mi   
1787961644 llm-proxy-7dc458997b-ctwm4   4m    2739Mi   
