38m     Normal    Pulled                         pod/llm-proxy-7dc458997b-txfz7                     Container image "curlimages/curl:8.21.0" already present on machine and can be accessed by the pod
37m     Normal    Pulling                        pod/llm-proxy-7dc458997b-txfz7                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
37m     Normal    Started                        pod/llm-proxy-7dc458997b-txfz7                     Container started
37m     Normal    Created                        pod/llm-proxy-7dc458997b-txfz7                     Container created
37m     Normal    Pulled                         pod/llm-proxy-7dc458997b-txfz7                     Container image "ghcr.io/ggml-org/llama.cpp:server" already present on machine and can be accessed by the pod
37m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-txfz7                     Readiness probe failed: Get "http://10.244.6.3:8000/health": dial tcp 10.244.6.3:8000: connect: connection refused
37m     Normal    Pulled                         pod/llm-proxy-7dc458997b-txfz7                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 359ms (359ms including waiting). Image size: 64753325 bytes.
37m     Normal    Created                        pod/llm-proxy-7dc458997b-txfz7                     Container created
37m     Normal    Started                        pod/llm-proxy-7dc458997b-txfz7                     Container started
36m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-5fx42
36m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-lxqr6
36m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-5fx42                     Successfully assigned default/llm-proxy-7dc458997b-5fx42 to ip-172-31-42-187.us-west-2.compute.internal
36m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 2 to 4
36m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 4; reason: cpu resource utilization (percentage of request) above target
36m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-lxqr6                     Successfully assigned default/llm-proxy-7dc458997b-lxqr6 to ip-172-31-18-41.us-west-2.compute.internal
