19m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-pbtz2
19m   Normal    Killing                        pod/llm-proxy-857bf6d79d-pbtz2                     Stopping container fastapi-proxy
19m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 6 to 5
19m   Normal    Killing                        pod/llm-proxy-857bf6d79d-pbtz2                     Stopping container llama-server
19m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 5; reason: All metrics below target
19m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-pbtz2                     Readiness probe failed: Get "http://10.244.7.2:8000/health": dial tcp 10.244.7.2:8000: connect: no route to host
18m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-9lnw2
18m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 4; reason: All metrics below target
18m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 5 to 4
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-9lnw2                     Stopping container fastapi-proxy
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-9lnw2                     Stopping container llama-server
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-r4b5d                     Stopping container llama-server
18m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 2; reason: All metrics below target
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-r4b5d                     Stopping container fastapi-proxy
18m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-r4b5d
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-ccwbz                     Stopping container fastapi-proxy
18m   Normal    Killing                        pod/llm-proxy-857bf6d79d-ccwbz                     Stopping container llama-server
18m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-ccwbz
18m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 4 to 2
16m   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-cmt7h
16m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 1; reason: All metrics below target
16m   Normal    Killing                        pod/llm-proxy-857bf6d79d-cmt7h                     Stopping container fastapi-proxy
16m   Normal    Killing                        pod/llm-proxy-857bf6d79d-cmt7h                     Stopping container llama-server
16m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 2 to 1
