1788020690 llm-proxy-7dc458997b-h4tr8   1887m   2639Mi   
1788020690 llm-proxy-7dc458997b-pxqb9   4m      205Mi    
1788020690 llm-proxy-7dc458997b-xqfml   1904m   2405Mi   
1788020759 llm-proxy-7dc458997b-6m5n7   943m    2851Mi   
1788020759 llm-proxy-7dc458997b-bzcwp   1796m   2244Mi   
1788020759 llm-proxy-7dc458997b-fd8jr   1508m   2110Mi   
1788020759 llm-proxy-7dc458997b-h4tr8   207m    2839Mi   
1788020759 llm-proxy-7dc458997b-pxqb9   4m      205Mi    
1788020759 llm-proxy-7dc458997b-xqfml   1898m   2483Mi   
1788020829 llm-proxy-7dc458997b-6m5n7   433m    2769Mi   
1788020829 llm-proxy-7dc458997b-bzcwp   1618m   2244Mi   
1788020829 llm-proxy-7dc458997b-fd8jr   1573m   2209Mi   
1788020829 llm-proxy-7dc458997b-h4tr8   175m    2864Mi   
1788020829 llm-proxy-7dc458997b-pxqb9   4m      205Mi    
1788020829 llm-proxy-7dc458997b-xqfml   275m    2773Mi   
1788020898 llm-proxy-7dc458997b-6m5n7   258m    2767Mi   
1788020898 llm-proxy-7dc458997b-bzcwp   1531m   2324Mi   
1788020898 llm-proxy-7dc458997b-fd8jr   1698m   2209Mi   
1788020898 llm-proxy-7dc458997b-h4tr8   179m    2864Mi   
1788020898 llm-proxy-7dc458997b-pxqb9   4m      205Mi    
1788020898 llm-proxy-7dc458997b-xqfml   273m    2767Mi   
1788020967 llm-proxy-7dc458997b-6m5n7   321m    2766Mi   
1788020967 llm-proxy-7dc458997b-bzcwp   1687m   2435Mi   
1788020967 llm-proxy-7dc458997b-fd8jr   397m    2209Mi   
1788020967 llm-proxy-7dc458997b-h4tr8   192m    2863Mi   
1788020967 llm-proxy-7dc458997b-pxqb9   4m      205Mi    
1788020967 llm-proxy-7dc458997b-xqfml   324m    2775Mi   
1788021036 llm-proxy-7dc458997b-6m5n7   310m   2744Mi   
1788021036 llm-proxy-7dc458997b-bzcwp   4m     2435Mi   
1788021036 llm-proxy-7dc458997b-fd8jr   4m     2209Mi   
1788021036 llm-proxy-7dc458997b-h4tr8   4m     2841Mi   
1788021036 llm-proxy-7dc458997b-pxqb9   4m     205Mi    
1788021036 llm-proxy-7dc458997b-xqfml   259m   2806Mi   
1788021105 llm-proxy-7dc458997b-6m5n7   316m   2758Mi   
1788021105 llm-proxy-7dc458997b-bzcwp   4m     2435Mi   
1788021105 llm-proxy-7dc458997b-fd8jr   4m     2209Mi   
1788021105 llm-proxy-7dc458997b-h4tr8   4m     2812Mi   
1788021105 llm-proxy-7dc458997b-pxqb9   4m     205Mi    
1788021105 llm-proxy-7dc458997b-xqfml   360m   2821Mi   
