1787958634 llm-proxy-7dc458997b-sspc6   1468m   2288Mi   
1787958634 llm-proxy-7dc458997b-wjrh7   4m      2130Mi   
1787958706 llm-proxy-7dc458997b-5rjdx   1922m   476Mi    
1787958706 llm-proxy-7dc458997b-hmnnv   1916m   412Mi    
1787958706 llm-proxy-7dc458997b-ppzrl   1918m   1992Mi   
1787958706 llm-proxy-7dc458997b-sspc6   1892m   2288Mi   
1787958776 llm-proxy-7dc458997b-5rjdx   4m      658Mi    
1787958776 llm-proxy-7dc458997b-hmnnv   1928m   506Mi    
1787958776 llm-proxy-7dc458997b-kzl6t   4m      205Mi    
1787958776 llm-proxy-7dc458997b-ppzrl   1427m   2030Mi   
1787958776 llm-proxy-7dc458997b-sspc6   1908m   2288Mi   
1787958776 llm-proxy-7dc458997b-xkk6q   4m      209Mi    
1787958846 llm-proxy-7dc458997b-5rjdx   4m    658Mi    
1787958846 llm-proxy-7dc458997b-hmnnv   4m    506Mi    
1787958846 llm-proxy-7dc458997b-kzl6t   4m    205Mi    
1787958846 llm-proxy-7dc458997b-ppzrl   4m    2030Mi   
1787958846 llm-proxy-7dc458997b-sspc6   4m    2288Mi   
1787958846 llm-proxy-7dc458997b-xkk6q   4m    209Mi    
1787958916 llm-proxy-7dc458997b-5rjdx   4m    658Mi    
1787958916 llm-proxy-7dc458997b-hmnnv   5m    506Mi    
1787958916 llm-proxy-7dc458997b-kzl6t   4m    205Mi    
1787958916 llm-proxy-7dc458997b-ppzrl   4m    2030Mi   
1787958916 llm-proxy-7dc458997b-sspc6   5m    2288Mi   
1787958916 llm-proxy-7dc458997b-xkk6q   5m    209Mi    
1787958987 llm-proxy-7dc458997b-5rjdx   3m    658Mi    
1787958987 llm-proxy-7dc458997b-hmnnv   4m    506Mi    
1787958987 llm-proxy-7dc458997b-kzl6t   4m    205Mi    
1787958987 llm-proxy-7dc458997b-ppzrl   4m    2030Mi   
1787958987 llm-proxy-7dc458997b-sspc6   4m    2287Mi   
1787958987 llm-proxy-7dc458997b-xkk6q   5m    209Mi    
1787959057 llm-proxy-7dc458997b-5rjdx   4m    658Mi    
1787959057 llm-proxy-7dc458997b-hmnnv   4m    506Mi    
1787959057 llm-proxy-7dc458997b-kzl6t   4m    205Mi    
1787959057 llm-proxy-7dc458997b-ppzrl   4m    2030Mi   
1787959057 llm-proxy-7dc458997b-sspc6   4m    2287Mi   
1787959057 llm-proxy-7dc458997b-xkk6q   5m    209Mi    
1787959128 llm-proxy-7dc458997b-5rjdx   3m    658Mi   
1787959198 llm-proxy-7dc458997b-5rjdx   4m    658Mi   
